#NN 	 Count 	 V 	 A 	 C 	 G 	 T 	 B 	 L 	 L1 	 P 	 F 	 P1 	 F1 	 Ngal 	 Ngroup 
830 	 304 	 293.84344717963035 	 223.5870440140932 	 54.40967501203092 	 0.0 	 3.9426718369393803 	 4.109325114782513 	 4.3297843650941505 	 4.3297843650941505 	 0.020697136231217134 	 0.026123520596258356 	 0.020697136231217134 	 0.026123520596258356 	 10 	 1
831 	 6612 	 6565.489539365581 	 1791.8145637723721 	 156.07280517438488 	 0.0 	 10.992470435461273 	 11.480632783977473 	 12.419879212860847 	 12.419879212860847 	 0.021722071213287092 	 0.03929817189722221 	 0.021722071213287092 	 0.03929817189722221 	 26 	 4
832 	 760 	 744.3185586319262 	 405.5904956939663 	 72.17346788467393 	 0.0 	 5.505443790232772 	 5.619662011281762 	 5.743382086965007 	 5.743382086965007 	 0.010266708747474622 	 0.010887934132222027 	 0.010266708747474622 	 0.010887934132222027 	 10 	 3
833 	 874 	 814.0807681946255 	 480.6283262770442 	 79.76418300089253 	 0.0 	 5.0813532433710895 	 6.025615861591238 	 6.347432003139288 	 6.347432003139288 	 0.08501532770072028 	 0.026009447717840826 	 0.08501532770072028 	 0.026009447717840826 	 8 	 1
834 	 814 	 790.6725447768579 	 427.13744529088353 	 74.66955319682555 	 0.0 	 5.553288901457032 	 5.72036964202757 	 5.942014244869011 	 5.942014244869011 	 0.01482045424083727 	 0.01900508549461082 	 0.01482045424083727 	 0.01900508549461082 	 7 	 0
840 	 902 	 879.0767778803204 	 447.4649353539367 	 75.31578213445081 	 0.0 	 5.893713954491115 	 5.941184206985193 	 5.993439509765054 	 5.993439509765054 	 0.004011040217363149 	 0.0043784625322137415 	 0.004011040217363149 	 0.0043784625322137415 	 22 	 4
841 	 249 	 239.50524971526963 	 190.55748578014058 	 49.44431288520386 	 0.0 	 3.770598390318869 	 3.8539818769969125 	 3.934653401731244 	 3.934653401731244 	 0.010936141237240671 	 0.010357594347068271 	 0.010936141237240671 	 0.010357594347068271 	 4 	 1
842 	 19737 	 19690.00988312836 	 4107.139835267924 	 259.27071814401097 	 0.0 	 14.38227867046356 	 15.841124924051888 	 20.632108195802452 	 20.632108195802452 	 0.048268761293749886 	 0.13135614427179954 	 0.048268761293749886 	 0.13135614427179954 	 282 	 52
843 	 3622 	 3598.156209973191 	 1166.0351383655113 	 122.75029814185672 	 0.0 	 9.257412812662498 	 9.499244857376882 	 9.768158357640196 	 9.768158357640196 	 0.012893131013457158 	 0.013956914549529055 	 0.012893131013457158 	 0.013956914549529055 	 152 	 22
844 	 28371 	 28193.86386308178 	 7581.802671437887 	 563.0473726013241 	 0.0 	 11.155868235384245 	 13.465656781967295 	 44.805886272202464 	 44.805886272202464 	 0.0938117580026124 	 0.537830780645383 	 0.0938117580026124 	 0.537830780645383 	 217 	 49
845 	 890 	 861.9568592733772 	 470.23624906123183 	 81.3675736785039 	 0.0 	 5.499088134916226 	 5.779160269903208 	 6.4750257791639445 	 6.4750257791639445 	 0.024832946121961755 	 0.056785942899382436 	 0.024832946121961755 	 0.056785942899382436 	 6 	 0
848 	 3893 	 3857.539021686851 	 1257.551301177446 	 131.408346018944 	 0.0 	 9.202500966938768 	 9.569797804137613 	 10.457143916222563 	 10.457143916222563 	 0.019565895561217125 	 0.04430761942962261 	 0.019565895561217125 	 0.04430761942962261 	 21 	 2
849 	 5674 	 5640.3157580038405 	 1616.048391750318 	 147.0127492968925 	 0.0 	 10.470569668823282 	 10.992573089608067 	 11.698902874065002 	 11.698902874065002 	 0.024320921994507368 	 0.03112753818163715 	 0.024320921994507368 	 0.03112753818163715 	 65 	 11
850 	 2799 	 2767.8503381792734 	 976.735965788562 	 112.29443721620079 	 0.0 	 8.50132615709917 	 8.697990657436126 	 8.936107382340426 	 8.936107382340426 	 0.011434436754531619 	 0.013503198426547772 	 0.011434436754531619 	 0.013503198426547772 	 27 	 4
851 	 678 	 675.3426175091442 	 379.7039601794344 	 69.87498426513247 	 0.0 	 5.335809117107984 	 5.434047165416053 	 5.5604745721321205 	 5.5604745721321205 	 0.009121574673886525 	 0.011499127450382524 	 0.009121574673886525 	 0.011499127450382524 	 5 	 1
852 	 8757 	 8655.170375715954 	 2290.8382630857827 	 176.33378512434888 	 0.0 	 11.334502110232807 	 12.991488054715695 	 14.032196768322123 	 14.032196768322123 	 0.0681158683879784 	 0.03851098473140934 	 0.0681158683879784 	 0.03851098473140934 	 203 	 39
853 	 4144 	 4108.5688739010975 	 1523.5688082880847 	 177.13597021718735 	 0.0 	 8.09002294786589 	 8.601126052602579 	 14.09603262972206 	 14.09603262972206 	 0.030621205569631174 	 0.24209667183578476 	 0.030621205569631174 	 0.24209667183578476 	 22 	 3
854 	 22288 	 21969.40765774066 	 6422.873585957361 	 510.04681769861713 	 0.0 	 10.261485313570597 	 12.592713772704272 	 40.58823612251286 	 40.58823612251286 	 0.10200438222898382 	 0.5264201260971908 	 0.10200438222898382 	 0.5264201260971908 	 62 	 8
855 	 2002 	 1972.9976602300328 	 780.6891273664799 	 100.77041434915708 	 0.0 	 7.581754085210332 	 7.747205689375138 	 8.019054780543405 	 8.019054780543405 	 0.010793400634993863 	 0.01724245845658484 	 0.010793400634993863 	 0.01724245845658484 	 26 	 5
856 	 927 	 905.8477761910558 	 495.1801197994327 	 83.31403475277979 	 0.0 	 5.4879895616041265 	 5.943537859723099 	 6.629920229917429 	 6.629920229917429 	 0.03985016886449303 	 0.05458978471164203 	 0.03985016886449303 	 0.05458978471164203 	 9 	 3
857 	 3431 	 3415.37498683991 	 1109.4886655057626 	 118.77325915222643 	 0.0 	 9.234997417345417 	 9.34123281136691 	 9.451675650605768 	 9.451675650605768 	 0.005718888747259927 	 0.00587683590660483 	 0.005718888747259927 	 0.00587683590660483 	 99 	 9
